week_start,report_week,side,direction,rank,stock_name,stock_code,value_sgd_m
2023-08-14,14 August 2023,retail,sell,3,Seatrium,S51,-14.5350691
2023-08-14,14 August 2023,retail,sell,4,UMS Holdings,558,-13.750626
2023-08-14,14 August 2023,retail,sell,5,Frencken Group,E28,-13.0240415
2023-08-14,14 August 2023,retail,sell,6,Yangzijiang Shipbuilding,BS6,-8.864974
2023-08-14,14 August 2023,retail,sell,7,Yangzijiang Financial,YF8,-6.4603475
2023-08-14,14 August 2023,retail,sell,8,CapitaLand India Trust,CY6U,-4.795434
2023-08-14,14 August 2023,retail,sell,9,Hongkong Land,H78,-3.1328200525
2023-08-14,14 August 2023,retail,sell,10,Olam Group,VC2,-3.087964
2023-08-21,21 August 2023,institutional,buy,1,DBS,D05,70.941641
2023-08-21,21 August 2023,institutional,buy,2,Seatrium,S51,44.39790260000001
2023-08-21,21 August 2023,institutional,buy,3,UOB,U11,34.759965
2023-08-21,21 August 2023,institutional,buy,4,OCBC,O39,34.244771
2023-08-21,21 August 2023,institutional,buy,5,Wilmar International,F34,17.149044
2023-08-21,21 August 2023,institutional,buy,6,ST Engineering,S63,13.988393
2023-08-21,21 August 2023,institutional,buy,7,CapitaLand Ascendas REIT,A17U,11.481436
2023-08-21,21 August 2023,institutional,buy,8,UMS,558,9.876264
2023-08-21,21 August 2023,institutional,buy,9,SGX,S68,7.864162
2023-08-21,21 August 2023,institutional,buy,10,Mapletree Logistics Trust,M44U,6.866211
2023-08-21,21 August 2023,institutional,sell,1,Venture Corporation,V03,-26.509005
2023-08-21,21 August 2023,institutional,sell,2,SIA,C6L,-15.992108
2023-08-21,21 August 2023,institutional,sell,3,Sembcorp Industries,U96,-11.216229
2023-08-21,21 August 2023,institutional,sell,4,CapitaLand Ascott Trust,HMN,-6.1735895
2023-08-21,21 August 2023,institutional,sell,5,SATS,S58,-5.259369
2023-08-21,21 August 2023,institutional,sell,6,Singtel,Z74,-4.6031505
2023-08-21,21 August 2023,institutional,sell,7,City Developments,C09,-4.28615
2023-08-21,21 August 2023,institutional,sell,8,UOL Group,U14,-4.060564
2023-08-21,21 August 2023,institutional,sell,9,OUE Commercial REIT,TS0U,-3.9311005
2023-08-21,21 August 2023,institutional,sell,10,Lendlease Global Commercial REIT,JYEU,-3.6366405
2023-08-21,21 August 2023,retail,buy,1,Singtel,Z74,34.2401545
2023-08-21,21 August 2023,retail,buy,2,SIA,C6L,27.324221
2023-08-21,21 August 2023,retail,buy,3,OCBC,O39,19.655461
2023-08-21,21 August 2023,retail,buy,4,UOB,U11,13.558732
2023-08-21,21 August 2023,retail,buy,5,Genting Singapore,G13,12.2244335
2023-08-21,21 August 2023,retail,buy,6,Venture Corporation,V03,11.933409
2023-08-21,21 August 2023,retail,buy,7,Keppel Corporation,BN4,8.376216
2023-08-21,21 August 2023,retail,buy,8,DBS,D05,7.646099
2023-08-21,21 August 2023,retail,buy,9,City Developments,C09,6.890007
2023-08-21,21 August 2023,retail,buy,10,UOL Group,U14,6.827451
2023-08-21,21 August 2023,retail,sell,1,Seatrium,S51,-27.77174389999999
2023-08-21,21 August 2023,retail,sell,2,Yangzijiang Shipbuilding,BS6,-9.599553
2023-08-21,21 August 2023,retail,sell,3,UMS,558,-9.046117
2023-08-21,21 August 2023,retail,sell,4,Wilmar International,F34,-6.734137
2023-08-21,21 August 2023,retail,sell,5,ST Engineering,S63,-4.348292
2023-08-21,21 August 2023,retail,sell,6,ComfortDelGro,C52,-3.970152
2023-08-21,21 August 2023,retail,sell,7,AEM,AWX,-3.132849263
2023-08-21,21 August 2023,retail,sell,8,Nanofilm Technologies,MZH,-2.60795
2023-08-21,21 August 2023,retail,sell,9,CapitaLand India Trust,CY6U,-2.002365
2023-08-21,21 August 2023,retail,sell,10,Jardine Matheson,J36,-1.9248420111
2023-08-28,28 August 2023,institutional,buy,1,Sembcorp Industries,U96,51.268929
2023-08-28,28 August 2023,institutional,buy,2,CapitaLand Ascendas REIT,A17U,27.506461
2023-08-28,28 August 2023,institutional,buy,3,Seatrium,S51,15.1304394
2023-08-28,28 August 2023,institutional,buy,4,SIA,C6L,14.001454
2023-08-28,28 August 2023,institutional,buy,5,Mapletree Industrial Trust,ME8U,13.392439
2023-08-28,28 August 2023,institutional,buy,6,UOB,U11,11.736375
2023-08-28,28 August 2023,institutional,buy,7,UMS Holdings,558,9.94703
2023-08-28,28 August 2023,institutional,buy,8,Keppel Corporation,BN4,8.258586
2023-08-28,28 August 2023,institutional,buy,9,CapitaLand Investment,9CI,6.775592
2023-08-28,28 August 2023,institutional,buy,10,Frasers Centrepoint Trust,J69U,6.475844
2023-08-28,28 August 2023,institutional,sell,1,Venture Corporation,V03,-77.108465
2023-08-28,28 August 2023,institutional,sell,2,DBS,D05,-22.396998
2023-08-28,28 August 2023,institutional,sell,3,Genting Singapore,G13,-19.207273
2023-08-28,28 August 2023,institutional,sell,4,Yangzijiang Shipbuilding,BS6,-16.613019
2023-08-28,28 August 2023,institutional,sell,5,CapitaLand Ascott Trust,HMN,-15.7606345
2023-08-28,28 August 2023,institutional,sell,6,OCBC,O39,-11.002822
2023-08-28,28 August 2023,institutional,sell,7,Singtel,Z74,-10.8693149
2023-08-28,28 August 2023,institutional,sell,8,OUE Commercial REIT,TS0U,-9.2249125
2023-08-28,28 August 2023,institutional,sell,9,Mapletree Logistics Trust,M44U,-8.090194
2023-08-28,28 August 2023,institutional,sell,10,CapitaLand Integrated Commercial Trust,C38U,-7.305026
2023-08-28,28 August 2023,retail,buy,1,Sembcorp Industries,U96,14.80707
2023-08-28,28 August 2023,retail,buy,2,Venture Corporation,V03,12.855712
2023-08-28,28 August 2023,retail,buy,3,Genting Singapore,G13,12.6931835
